year,university,school,degree,employment_rate_overall,employment_rate_ft_perm,basic_monthly_mean,basic_monthly_median,gross_monthly_mean,gross_monthly_median,gross_mthly_25_percentile,gross_mthly_75_percentile,degree_cleaned,is_honours,field_of_study
2013,NTU,College of Business (Nanyang Business School),Bachelor of Accountancy (Hons),97.4,96.1,3701,3200,3727,3350,2900,4000,bachelor of accountancy,1,Business and Management
2013,NTU,College of Business (Nanyang Business School),Bachelor of Accountancy (Hons),97.1,95.7,2850,2700,2938,2700,2700,2900,bachelor of accountancy,1,Business and Management
2013,NTU,College of Business (Nanyang Business School),Bachelor of Business (Hons),90.9,85.7,3053,3000,3214,3000,2700,3500,bachelor of business,1,Business and Management
2013,NTU,College of Business (Nanyang Business School),Bachelor of Business (Hons),87.5,87.5,3557,3400,3615,3400,3000,4100,bachelor of business,1,Business and Management
2013,NTU,College of Engineering,Aerospace Engineering,95.3,95.3,3494,3500,3536,3500,3100,3816,aerospace engineering,0,Engineering
2013,NTU,College of Engineering,Bioengineering,81.3,68.8,2952,2900,3166,3125,2893,3365,bioengineering,0,Engineering
2013,NTU,College of Engineering,Chemical,87.3,85.1,3235,3000,3377,3200,3000,3800,chemical,0,Engineering
2013,NTU,College of Engineering,Computer Engineering,90.3,88.2,3326,3100,3374,3175,3000,3600,computer engineering,0,Engineering
2013,NTU,College of Engineering,Civil Engineering,94.8,93.8,3091,3000,3182,3100,3000,3380,civil engineering,0,Engineering
2013,NTU,College of Engineering,Computer Science,92.1,88.5,3249,3000,3306,3125,3000,3600,computer science,0,Computer Science and IT
2013,NTU,College of Engineering,Electrical,91,88.7,3133,3000,3187,3100,3000,3440,electrical,0,Engineering
2013,NTU,College of Engineering,Environmental Engineering,84,81.5,3091,3000,3140,3000,3000,3300,environmental engineering,0,Science
2013,NTU,College of Engineering,Information Engineering,85.7,79.6,3160,3150,3203,3200,2950,3400,information engineering,0,Engineering
2013,NTU,College of Engineering,Materials Engineering,82.5,78.9,2989,3000,3096,3000,2800,3300,materials engineering,0,Engineering
2013,NTU,College of Engineering,Mechanical Engineering,91.6,89.5,3125,3000,3226,3100,3000,3500,mechanical engineering,0,Engineering
2013,NTU,College of Engineering,Maritime Studies,95.6,93.3,3050,3000,3111,3000,2850,3200,maritime studies,0,Engineering
2013,NTU,"College of Humanities, Arts & Social Sciences","Art, Design & Media",81.6,61.4,2639,2500,2638,2500,2300,2900,"art, design & media",0,Design and Media
