year,university,school,degree,employment_rate_overall,employment_rate_ft_perm,basic_monthly_mean,basic_monthly_median,gross_monthly_mean,gross_monthly_median,gross_mthly_25_percentile,gross_mthly_75_percentile,normalized_degree,canonical_degree
2013,Nanyang Technological University,College of Business (Nanyang Business School),Bachelor of Accountancy (Hons),97.1,95.7,2850,2700,2938,2700,2700,2900,accountancy (hons),Accountancy (Hons)
2013,Nanyang Technological University,College of Business (Nanyang Business School),Bachelor of Business (Hons),90.9,85.7,3053,3000,3214,3000,2700,3500,business (hons),Business (Hons)
2013,Nanyang Technological University,College of Engineering,Aerospace Engineering,95.3,95.3,3494,3500,3536,3500,3100,3816,aerospace engineering,Aerospace Engineering
2013,Nanyang Technological University,College of Engineering,Bioengineering,81.3,68.8,2952,2900,3166,3125,2893,3365,bioengineering,Bioengineering
2013,Nanyang Technological University,College of Engineering,Chemical and Biomolecular Engineering,87.3,85.1,3235,3000,3377,3200,3000,3800,chemical and biomolecular engineering,Chemical And Biomolecular Engineering
2013,Nanyang Technological University,College of Engineering,Computer Engineering,90.3,88.2,3326,3100,3374,3175,3000,3600,computer engineering,Computer Engineering
2013,Nanyang Technological University,College of Engineering,Civil Engineering,94.8,93.8,3091,3000,3182,3100,3000,3380,civil engineering,Civil Engineering
2013,Nanyang Technological University,College of Engineering,Computer Science,92.1,88.5,3249,3000,3306,3125,3000,3600,computer science,Computer Science
2013,Nanyang Technological University,College of Engineering,Electrical and Electronic Engineering,91,88.7,3133,3000,3187,3100,3000,3440,electrical and electronic engineering,Electrical And Electronic Engineering
2013,Nanyang Technological University,College of Engineering,Environmental Engineering,84,81.5,3091,3000,3140,3000,3000,3300,environmental engineering,Environmental Engineering
2013,Nanyang Technological University,College of Engineering,Information Engineering and Media,85.7,79.6,3160,3150,3203,3200,2950,3400,information engineering and media,Information Engineering And Media
2013,Nanyang Technological University,College of Engineering,Materials Engineering,82.5,78.9,2989,3000,3096,3000,2800,3300,materials engineering,Materials Engineering
2013,Nanyang Technological University,College of Engineering,Mechanical Engineering,91.6,89.5,3125,3000,3226,3100,3000,3500,mechanical engineering,Mechanical Engineering
2013,Nanyang Technological University,College of Engineering,Maritime Studies,95.6,93.3,3050,3000,3111,3000,2850,3200,maritime studies,Maritime Studies
2013,Nanyang Technological University,"College of Humanities, Arts & Social Sciences","Art, Design & Media",81.6,61.4,2639,2500,2638,2500,2300,2900,"art, design & media","Art, Design & Media"
2013,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Chinese,85.1,80.5,2818,2800,2924,3000,2600,3300,chinese,Chinese
2013,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Communication Studies,89.4,79.6,2893,2930,2956,3000,2700,3250,communication studies,Communication Studies
2013,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Economics,89.9,83.5,3085,3000,3148,3000,2800,3545,economics,Economics
2013,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",English,82.7,67.3,3087,3000,3179,3100,2800,3400,english,English
2013,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Linguistics and Multilingual Studies,90.6,81.3,2691,2600,2725,2625,2475,3018,linguistics and multilingual studies,Linguistics And Multilingual Studies
2013,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Psychology,82.4,71.8,3007,3000,3061,3000,2750,3255,psychology,Psychology
2013,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Sociology,74.4,55.8,2980,3000,3082,3100,2800,3310,sociology,Sociology
2013,Nanyang Technological University,College of Sciences,Biomedical Sciences **,na,na,na,na,na,na,na,na,biomedical sciences,Biomedical Sciences
2013,Nanyang Technological University,College of Sciences,Biomedical Sciences (Traditional Chinese Medicine) #,90.7,88.4,2840,2800,2883,2807,2700,3000,biomedical sciences (traditional chinese medicine),Biomedical Sciences (Traditional Chinese Medicine)
2013,Nanyang Technological University,College of Sciences,Biological Sciences,78.6,68.1,2881,2900,3002,3000,2700,3250,biological sciences,Biomedical Sciences
2013,Nanyang Technological University,College of Sciences,Chemistry & Biological Chemistry,79.8,68.9,2993,3000,3083,3100,2800,3400,chemistry & biological chemistry,Chemistry & Biological Chemistry
2013,Nanyang Technological University,College of Sciences,Mathematics & Economics **,na,na,na,na,na,na,na,na,mathematics & economics,Mathematics & Economics
2013,Nanyang Technological University,College of Sciences,Mathematical Science,86,83.7,3169,3000,3262,3000,2750,3500,mathematical science,Mathematical Science
2013,Nanyang Technological University,College of Sciences,Physics / Applied Physics,80.8,69.2,3164,3000,3208,3300,2900,3400,physics / applied physics,Physics / Applied Physics
2013,Nanyang Technological University,College of Sciences,Sports Science and Management,68.2,59.1,2968,3000,2985,3000,2700,3400,sports science and management,Sports Science And Management
2013,Nanyang Technological University,National Institute of Education (NIE),Science (with Education),100,100,3377,3400,3478,3498,3300,3800,science (with education),Science (With Education)
2013,Nanyang Technological University,National Institute of Education (NIE),Arts (with Education),100,100,3413,3426,3506,3498,3400,3575,arts (with education),Arts (With Education)
2013,National University of Singapore,Faculty of Arts & Social Sciences,Bachelor of Arts,84.8,70.1,2741,2730,2888,2800,2500,3080,arts,Arts
2013,National University of Singapore,Faculty of Arts & Social Sciences,Bachelor of Arts (Hons),86.6,74.6,3057,3200,3154,3200,2800,3500,arts (hons),Arts (Hons)
2013,National University of Singapore,Faculty of Arts & Social Sciences,Bachelor of Social Sciences,88.1,76.8,3098,3100,3210,3200,2800,3500,social sciences,Social Sciences
2013,National University of Singapore,NUS Business School,Bachelor of Business Administration,88.7,81.7,2960,2868,3062,3000,2700,3370,business administration,Business Administration
2013,National University of Singapore,NUS Business School,Bachelor of Business Administration (Hons),94.6,90.3,3404,3050,3512,3200,2800,3800,business administration (hons),Business Administration
2013,National University of Singapore,NUS Business School,Bachelor of Business Administration (Accountancy),93.3,88.9,2740,2700,2922,2700,2700,3018,business administration (accountancy),Business Administration (Accountancy)
2013,National University of Singapore,NUS Business School,Bachelor of Business Administration (Accountancy) (Hons),97.2,94.4,3065,2800,3143,2800,2700,3200,business administration (accountancy) (hons),Business Administration (Accountancy)
2013,National University of Singapore,School of Computing,Bachelor of Computing (Communications and Media),88.9,77.8,3350,3000,3377,3050,2825,3425,computing (communications and media),Computing (Communications And Media)
2013,National University of Singapore,School of Computing,Bachelor of Computing (Computational Biology) **,na,na,na,na,na,na,na,na,computing (computational biology),Computing (Computational Biology)
2013,National University of Singapore,School of Computing,Bachelor of Computing (Computer Engineering) **,na,na,na,na,na,na,na,na,computing (computer engineering),Computing (Computer Engineering)
2013,National University of Singapore,School of Computing,Bachelor of Computing (Computer Science),92.4,83.3,3933,3400,3953,3425,3000,4000,computing (computer science),Computing (Computer Engineering)
2013,National University of Singapore,School of Computing,Bachelor of Computing (Electronic Commerce),88.9,83.3,3277,3050,3320,3080,2800,3553,computing (electronic commerce),Computing (Electronic Commerce)
2014,Nanyang Technological University,College of Engineering,Aerospace Engineering,84.6,82.7,3715,3700,3911,3770,3300,4070,aerospace engineering,Aerospace Engineering
2013,National University of Singapore,School of Computing,Bachelor of Computing (Information Systems),89.2,83.9,3266,3000,3322,3005,3000,3800,computing (information systems),Computing (Information Systems)
2013,National University of Singapore,Faculty of Dentistry,Bachelor of Dental Surgery,100,100,4106,4000,4106,4000,4000,4400,dental surgery,Dental Surgery
